idx,type,first,second,third,fourth,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
0,ENFP,E,N,F,P,0.05978482908892823,0.008579599618684462,0.014980253302464932,0.029824322483998366,0.08634073267057062,0.01552498978619093,0.015797358028053928,0.04003813155386082,0.05161378183303827,0.0009532888465204957,0.008034863134958464,0.03322892550728585,0.020972354623450904,0.052567070679558764,0.05283943892142176,0.013890780335012938,0.001089472967451995,0.03132234781424486,0.04167234100503881,0.0665940351355032,0.024104589404875393,0.009532888465204958,0.01566117390712243,0.0012256570883834945,0.021380906986245403,0.0006809206046574969
1,INFJ,I,N,F,J,0.05304111010245104,0.011282583322526261,0.012838801711840228,0.025029179094799636,0.09103877577486708,0.015691868758915834,0.0204902087926339,0.03696018674620672,0.045778757618985866,0.0010374789262093114,0.007002982751912852,0.033199325638697964,0.02023083906108157,0.04824277006873298,0.06341589936454416,0.009856049798988457,0.0010374789262093114,0.0409804175852678,0.04305537543768642,0.06626896641161976,0.02451043963169498,0.01089352872519777,0.016729347685125146,0.0011671637919854754,0.0204902087926339,0.0005187394631046557
2,INFP,I,N,F,P,0.05443548387096774,0.010080645161290322,0.015877016129032258,0.0234375,0.09349798387096774,0.016381048387096774,0.018145161290322582,0.03666834677419355,0.051915322580645164,0.0012600806451612903,0.007560483870967742,0.029611895161290324,0.020413306451612902,0.053931451612903226,0.06350806451612903,0.013734879032258064,0.0010080645161290322,0.040196572580645164,0.047757056451612906,0.07182459677419355,0.025453629032258066,0.007686491935483871,0.012852822580645162,0.0013860887096774194,0.021043346774193547,0.0007560483870967742
3,INFJ,I,N,F,J,0.056370469147775486,0.009213237968238574,0.014547217844587223,0.02533640441265608,0.09116256515941326,0.014789671475330344,0.017335434598133106,0.036004364165353374,0.05164262334828464,0.000606134076857801,0.0077585161837798525,0.034792096011637776,0.022790641289853315,0.04982422111771124,0.0618256758394957,0.011759001091041337,0.0008485877076009214,0.037095405503697415,0.04473269487210571,0.06570493393138563,0.01939629045944963,0.009455691598981695,0.013456176506243181,0.001333494969087162,0.023518002182082675,0.001212268153715602
4,INTJ,I,N,T,J,0.05671756704735018,0.009752341845245734,0.01565507506736815,0.02553573720005133,0.08186834338508918,0.014500192480431157,0.01822148081611703,0.039009367380982936,0.05017323238804055,0.0010265622994995508,0.007442576671371744,0.030026947260361862,0.019889644552803797,0.04824842807647889,0.059668933658411395,0.0146285127678686,0.000898242012062107,0.037469523931733605,0.04221737456691903,0.06505838573078404,0.026690619786988324,0.008725779545746182,0.01565507506736815,0.000898242012062107,0.02091620685230335,0.0005132811497497754
5,ENTJ,E,N,T,J,0.05333667209214974,0.008889445348691623,0.02040816326530612,0.023538249655690496,0.08664079128583949,0.014648804306998874,0.01615124577438337,0.03443095029422812,0.052335044447226746,0.00225366220107675,0.0052585451358457495,0.030549643170151495,0.019281332164767746,0.05108300989107299,0.05984725178414924,0.015149618129460373,0.0006260172780768749,0.03618379867284337,0.04544885438838112,0.06811067985476399,0.023538249655690496,0.008639038437460875,0.011769124827845248,0.003130086390384375,0.018530111431075497,0.0
6,INTP,I,N,T,P,0.05319148936170213,0.010154738878143133,0.019342359767891684,0.022888459058671824,0.08204384268214056,0.015635074145712444,0.016924564796905222,0.03723404255319149,0.050934880722114766,0.0020954223081882657,0.006608639587362992,0.02852998065764023,0.019825918762088973,0.04948420373952289,0.06447453255963895,0.015473887814313346,0.0003223726627981947,0.03949065119277885,0.04948420373952289,0.07027724049000644,0.027240490006447453,0.006286266924564797,0.015635074145712444,0.0009671179883945841,0.020631850419084462,0.00048355899419729207
7,ENFP,E,N,F,P,0.06185944363103953,0.008906783796974134,0.014275256222547585,0.027330405075646658,0.08723767691556857,0.013909224011713031,0.016349438750610054,0.03489507076622743,0.04148365056124939,0.002440214738897023,0.008174719375305027,0.03318692044899951,0.020741825280624696,0.0479502196193265,0.0527086383601757,0.013299170326988775,0.0013421181063933627,0.03428501708150317,0.0477061981454368,0.06429965836993655,0.021839921913128356,0.00841874084919473,0.017813567593948268,0.001586139580283065,0.024768179599804784,0.0004880429477794046
8,ISFJ,I,S,F,J,0.042270531400966184,0.016908212560386472,0.025534851621808144,0.017943409247757072,0.06418219461697723,0.014320220841959972,0.011387163561076604,0.034851621808143544,0.03536922015182885,0.003105590062111801,0.007073844030365769,0.02139406487232574,0.025707384403036576,0.032781228433402344,0.05762594893029676,0.016563146997929608,0.0012077294685990338,0.02933057280883368,0.036231884057971016,0.07056590752242926,0.029503105590062112,0.011904761904761904,0.029675638371290544,0.002070393374741201,0.017425810904071772,0.0015527950310559005
9,INTP,I,N,T,P,0.05672184093661688,0.009890997174000807,0.023415421881308032,0.022607993540573273,0.078118691966088,0.013322567622123537,0.013928138877674606,0.03734356075898264,0.04703270084779976,0.0014129995962858296,0.007670569236980218,0.031489705288655634,0.025635849818328622,0.04743641501816714,0.0641905530884134,0.016552280985062576,0.0008074283407347598,0.03189341945902301,0.04057327412192168,0.07408155026241421,0.023819136051675415,0.006257569640694388,0.012515139281388777,0.0016148566814695195,0.020185708518368994,0.0006055712555510698
10,INTP,I,N,T,P,0.05330929693535926,0.00978624774658769,0.018799896986865825,0.02498068503734226,0.08292557301055885,0.015194437290754571,0.013649240278135463,0.0339943342776204,0.049703837239248004,0.0007725985063095545,0.006695853721349472,0.02343548802472315,0.021375225341231006,0.05305176409992274,0.06412567602369303,0.012876641771825908,0.0005150656708730364,0.03914499098635076,0.04172031934071594,0.06773113571980427,0.025495750708215296,0.0072109193922225085,0.01545197012619109,0.0010301313417460727,0.019830028328611898,0.0010301313417460727
11,INFP,I,N,F,P,0.060401221107719144,0.010684692542520715,0.016354121238552115,0.027256868730920192,0.08318796336676842,0.0141735717400785,0.01831661578717837,0.03270824247710423,0.047863061491495856,0.002289576973397296,0.00708678587003925,0.027802006105538596,0.01864369821194941,0.05571303968600087,0.06094635848233755,0.012974269515918012,0.0004361098996947231,0.03935891844744876,0.0453554295682512,0.06868730920191889,0.02409507195813345,0.00992150021805495,0.013519406890536415,0.0013083296990841692,0.021914522459659833,0.00021805494984736154
12,INFP,I,N,F,P,0.054602184087363496,0.010586137731223536,0.014040561622464899,0.026632493871183417,0.09338087809226654,0.013594829507466013,0.015489190996211277,0.031201248049921998,0.04813906841987965,0.0005571651437486071,0.007577445954981056,0.03131268107867172,0.020949409404947626,0.05081346110987297,0.06061956763984845,0.015489190996211277,0.0004457321149988857,0.043793180298640516,0.04613327390238467,0.061511031869846224,0.021618007577445954,0.007577445954981056,0.016157789168709604,0.00078003120124805,0.022398038778694004,0.0005571651437486071
13,INFJ,I,N,F,J,0.05485053581500282,0.009447264523406655,0.019599548787366045,0.02044557247602933,0.07853919909757473,0.014241398759165257,0.016356457980823462,0.03694303440496334,0.04991539763113367,0.0014100394811054709,0.00874224478285392,0.0290468133107727,0.02100958826847152,0.04667230682459109,0.06218274111675127,0.02002256063169769,0.0005640157924421884,0.04032712915961647,0.048928369994359844,0.07007896221094191,0.02707275803722504,0.0071912013536379014,0.013959390862944163,0.0012690355329949238,0.021996615905245348,0.0001410039481105471
14,ENFP,E,N,F,P,0.05301713434318351,0.01005711447727837,0.024956543332505587,0.024211571889744227,0.08244350633225726,0.01614104792649615,0.014402781226719643,0.027439781475043456,0.05053389620064564,0.0014899428855227217,0.007946362056121183,0.03178544822448473,0.016513533647876832,0.056741991556990314,0.06630245840576111,0.018127638440526447,0.0006208095356344674,0.03849019120933698,0.042339210330270674,0.062950086913335,0.025453190961013162,0.010181276384405264,0.014899428855227216,0.0011174571641420412,0.0189967717904147,0.0007449714427613609
15,INTJ,I,N,T,J,0.057117224880382775,0.014354066985645933,0.01689593301435407,0.02900717703349282,0.07864832535885168,0.01270933014354067,0.02048444976076555,0.032745215311004786,0.05397727272727273,0.002541866028708134,0.00777511961722488,0.03409090909090909,0.024671052631578948,0.05337918660287081,0.06085526315789474,0.013456937799043063,0.0004485645933014354,0.03618421052631579,0.04321172248803828,0.06818181818181818,0.02646531100478469,0.00687799043062201,0.016148325358851676,0.0010466507177033493,0.021082535885167463,0.0004485645933014354
16,INTP,I,N,T,P,0.053112814306844155,0.010219174398278876,0.016942315449778138,0.027564878311146967,0.08161893236520103,0.010488100040338847,0.01317735646093855,0.03563264757294608,0.042759177087535294,0.0002689256420599704,0.006857603872529245,0.029312894984536774,0.021514051364797632,0.043297028371655236,0.057684550221863654,0.010757025682398816,0.000672314105149926,0.03482587064676617,0.045851821971224956,0.0618528976737932,0.024337770606427323,0.007529917977679172,0.016942315449778138,0.001344628210299852,0.02326206803818744,0.0004033884630899556
